pmid,specialty,pub_type_simple_5,journal,title,year
40278718,Internal Medicine / Primary Care,Research Article,"Sports (Basel, Switzerland)",ChatGPT-4o-Generated Exercise Plans for Patients with Type 2 Diabetes Mellitus-Assessment of Their Safety and Other Quality Criteria by Coaching Experts.,2025
40917271,Ophthalmology,Research Article,"Clinical ophthalmology (Auckland, N.Z.)",Assessing the Diagnostic Capabilities of ChatGPT-4 Omni in Grading Diabetic Retinopathy Fundoscopy Using Color Fundus Photographs.,2025
41677994,Medical Informatics / Digital Health,Research Article,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,Reinforcing the stereotype: an analysis of AI-generated images of patients with obstructive sleep apnea.,2025
41310564,Dentistry,Research Article,BMC oral health,Artificial intelligence versus human expertise: reliability of ChatGPT and the London atlas for dental age estimation using panoramic radiographs.,2025
39937452,Surgery,Research Article,Clinical orthopaedics and related research,Artificial Intelligence Shows Limited Success in Improving Readability Levels of Spanish-language Orthopaedic Patient Education Materials.,2025
39476977,Dermatology,Research Article,Journal of the American Academy of Dermatology,Assessing the diagnostic performance of ChatGPT in dermatology across Fitzpatrick phototypes and skin of color.,2025
40013839,Neurology / Neuroscience,Research Article,Epilepsia,Can artificial intelligence diagnose seizures based on patients' descriptions? A study of GPT-4.,2025
41015910,Medical Informatics / Digital Health,Research Article,The Journal of medicine and philosophy,The Role of Empathy in Critical Reasoning and the Limitations of Medical AI Systems.,2025
40459826,Medical Informatics / Digital Health,Research Article,Journal of bioethical inquiry,Automating Misrecognition: The Case of Disability.,2025
40927810,Ophthalmology,Research Article,Frontiers in digital health,Performance of vision language models for optic disc swelling identification on fundus photographs.,2025
40220270,Medical Informatics / Digital Health,Editorial,Expert opinion on drug safety,Does the use of generative AI chatbots by patients introduce risk of adverse drug events?,2025
40214230,Medical Informatics / Digital Health,Research Article,The Journal of craniofacial surgery,Bridging the Coding Gap: Assessing Large Language Models for Accurate Modifier Assignment in Craniofacial Operative Notes.,2025
39332706,Surgery,Research Article,"Journal of stomatology, oral and maxillofacial surgery",ChatGPT and trainee performances in the management of maxillofacial patients.,2025
40605845,Emergency Medicine / Critical Care,Research Article,JMIR AI,Performance of 3 Conversational Generative Artificial Intelligence Models for Computing Maximum Safe Doses of Local Anesthetics: Comparative Analysis.,2025
39433158,Cardiology,Research Article,International journal of cardiology,External evaluation of a commercial artificial intelligence-augmented digital auscultation platform in valvular heart disease detection using echocardiography as reference standard.,2025
39392690,Radiology / Diagnostic Imaging,Research Article,Health promotion practice,Suitability of ChatGPT as a Source of Patient Information for Screening Mammography.,2025
39214893,Radiology / Diagnostic Imaging,Research Article,European radiology,Assessing GPT-4 multimodal performance in radiological image analysis.,2025
40429531,Oncology,Research Article,Journal of clinical medicine,The Role of Artificial Intelligence (ChatGPT-4o) in Supporting Tumor Board Decisions.,2025
40358604,Surgery,Research Article,Military medicine,Comparing Diagnostic Accuracy of ChatGPT to Clinical Diagnosis in General Surgery Consults: A Quantitative Analysis of Disease Diagnosis.,2025
39992569,Radiology / Diagnostic Imaging,Research Article,Discover oncology,"A preliminary investigation into the potential, pitfalls, and limitations of large language models for mammography interpretation.",2025
40273525,Radiology / Diagnostic Imaging,Research Article,The Knee,"Evaluating artificial intelligence performance in medical image analysis: Sensitivity, specificity, accuracy, and precision of ChatGPT-4o on Kellgren-Lawrence grading of knee X-ray radiographs.",2025
40821958,Surgery,Research Article,Foot & ankle orthopaedics,ChatGPT-4 Responses on Ankle Cartilage Surgery Often Diverge from Expert Consensus: A Comparative Analysis.,2025
40553457,Medical Informatics / Digital Health,Research Article,Medical decision making : an international journal of the Society for Medical Decision Making,Forewarning Artificial Intelligence about Cognitive Biases.,2025
41298111,Radiology / Diagnostic Imaging,Research Article,AJNR. American journal of neuroradiology,Assessing the Accuracy of Artificial Intelligence in Detecting Intracranial Aneurysms in a Clinical Setting Relative to Neuroradiologists.,2025
41594062,Surgery,Research Article,"Antibiotics (Basel, Switzerland)",AI-Generated Antibiotic Therapies for Acute Periprosthetic Joint Infections with Implant Retention in Comparison with an Interdisciplinary Team.,2025
40210433,Surgery,Research Article,Clinical orthopaedics and related research,"Letter to the Editor: ""Dr. AI Will See You Now"": How Do ChatGPT-4 Treatment Recommendations Align With Orthopaedic Clinical Practice Guidelines?",2025
40413255,Medical Informatics / Digital Health,Research Article,Scientific reports,Mobile applications for skin cancer detection are vulnerable to physical camera-based adversarial attacks.,2025
39971639,Medical Informatics / Digital Health,Research Article,"European annals of otorhinolaryngology, head and neck diseases",Assessing the diagnostic capacity of artificial intelligence chatbots for dysphonia types: Model development and validation.,2025
40927103,Cardiology,Research Article,Reviews in cardiovascular medicine,Artificial Intelligence in Cardiac Treatment Decision-Making: An Evaluation of the Performance of ChatGPT Versus the Heart Team in Coronary Revascularization.,2025
40462054,Dentistry,Research Article,BMC oral health,Comparative analysis of AI chatbot (ChatGPT-4.0 and Microsoft Copilot) and expert responses to common orthodontic questions: patient and orthodontist evaluations.,2025
40136111,Dentistry,Research Article,Dental press journal of orthodontics,Effectiveness of AI-generated orthodontic treatment plans compared to expert orthodontist recommendations: a cross-sectional pilot study.,2025
38729608,Medical Informatics / Digital Health,Research Article,Journal of the American Pharmacists Association : JAPhA,Unlocking the future of patient Education: ChatGPT vs. LexiComp® as sources of patient education materials.,2025
41464219,Surgery,Research Article,"Diagnostics (Basel, Switzerland)",Reliability of Large Language Model-Based Artificial Intelligence in AIS Assessment: Lenke Classification and Fusion-Level Suggestion.,2025
40513204,Radiology / Diagnostic Imaging,Research Article,Seminars in arthritis and rheumatism,AI automated radiographic scoring in rheumatoid arthritis: Shedding light on barriers to implementation through comprehensive evaluation.,2025
41008719,Medical Informatics / Digital Health,Review,"Diagnostics (Basel, Switzerland)",Data Leakage in Deep Learning for Alzheimer's Disease Diagnosis: A Scoping Review of Methodological Rigor and Performance Inflation.,2025
40311171,Oncology,Research Article,The Knee,Diagnostic accuracy of ChatGPT-4 in orthopedic oncology: a comparative study with residents.,2025
40078449,Cardiology,Research Article,Digital health,Artificial intelligence (ChatGPT) ready to evaluate ECG in real life? Not yet!,2025
39809759,Medical Informatics / Digital Health,Research Article,Nature communications,Large Language Models lack essential metacognition for reliable medical reasoning.,2025
39317205,Oncology,Research Article,Endoscopy,Randomized controlled trial of an artificial intelligence diagnostic system for the detection of esophageal squamous cell carcinoma in clinical practice.,2025
41054023,Internal Medicine / Primary Care,Research Article,Journal of human nutrition and dietetics : the official journal of the British Dietetic Association,Artificial Intelligence in Clinical Nutrition: A Descriptive Comparison of ChatGPT- and Dietitian-Planned Diets for Chronic Disease Scenarios.,2025
40644430,Medical Informatics / Digital Health,Research Article,Journal of the American Medical Informatics Association : JAMIA,In defense of empathic informatics.,2025
40626371,Dentistry,Review,Oral diseases,Spin and Hacking in Machine Learning Prediction Model Studies in Dentistry: A Systematic Review.,2025
40355787,Medical Informatics / Digital Health,Research Article,Journal of general internal medicine,The Rise of Clinical Decision Support Algorithms in Pain Management 2009-2024.,2025
40523223,Medical Informatics / Digital Health,Research Article,JCO clinical cancer informatics,Reliability of Large Language Model Knowledge Across Brand and Generic Cancer Drug Names.,2025
39710586,Medical Informatics / Digital Health,Research Article,Nursing ethics,Transparency and Authority Concerns with Using AI to Make Ethical Recommendations in Clinical Settings.,2025
40466030,Oncology,Research Article,JCO clinical cancer informatics,Accuracy and Reproducibility of ChatGPT Responses to Breast Cancer Tumor Board Patients.,2025
39603351,Radiology / Diagnostic Imaging,Research Article,Urology,Accuracy of a ChatGPT in Diagnosing Urologic Conditions From Cross-sectional Imaging.,2025
40467886,Mental Health / Psychiatry,Research Article,NPJ digital medicine,Racial bias in AI-mediated psychiatric diagnosis and treatment: a qualitative comparison of four large language models.,2025
40648826,Cardiology,Research Article,Journal of clinical medicine,Comparing AI-Driven and Heart Team Decision-Making in Multivessel Coronary Artery Disease.,2025
39866564,Medical Informatics / Digital Health,Research Article,PeerJ,"Assessing the readability, quality and reliability of responses produced by ChatGPT, Gemini, and Perplexity regarding most frequently asked keywords about low back pain.",2025
40288807,Medical Informatics / Digital Health,Research Article,BMJ health & care informatics,Potential for near-term AI risks to evolve into existential threats in healthcare.,2025
40480310,Dentistry,Research Article,Journal of dentistry,Large language models for the screening step in systematic reviews in dentistry.,2025
40029234,Dentistry,Research Article,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Diagnostic accuracy of artificial intelligence for dental and occlusal parameters using standardized clinical photographs.,2025
41203492,Surgery,Research Article,Journal of voice : official journal of the Voice Foundation,Accuracy of AI-Powered Large Language Models in the Analysis of Laryngeal Images.,2025
40437254,Medical Informatics / Digital Health,Research Article,Pediatric research,Large language models and clinical calculations: to err is human and machines are not exempt.,2025
39776758,Surgery,Research Article,OTO open,Utilization of ChatGPT for Rhinology Patient Education: Limitations in a Surgical Sub-Specialty.,2025
40988623,Internal Medicine / Primary Care,Review,"Hypertension (Dallas, Tex. : 1979)",Controversy in Hypertension: Con-side of the argument using AI for HTN diagnosis and management.,2025
40445459,Surgery,Research Article,Discover oncology,Assessing the value of artificial intelligence-based image analysis for pre-operative surgical planning of neck dissections and iENE detection in head and neck cancer patients.,2025
40960827,Pediatrics,Research Article,JAMA network open,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions.,2025
40866537,Mental Health / Psychiatry,Research Article,Scientific reports,Performance of mental health chatbot agents in detecting and managing suicidal ideation.,2025
40817014,Surgery,Research Article,Obesity research & clinical practice,Training ChatGPT for surgical decisions: Bariatric surgery analysis using algorithms and evidence.,2025
41266194,Dentistry,Research Article,The Journal of prosthetic dentistry,Artificial intelligence reliability in implant dentistry: A comparative analysis of clinical accuracy and hallucination patterns across multiple language models.,2025
39907718,Medical Informatics / Digital Health,Letter,Journal of medical systems,Through ChatGPT's Eyes: The Large Language Model's Stereotypes and what They Reveal About Healthcare.,2025
40550012,Obstetrics / Gynecology,Research Article,"Culture, health & sexuality",Reproductive health and ChatGPT: an evaluation of AI-Generated responses to commonly asked abortion questions.,2025
39495556,Surgery,Research Article,The Journal of craniofacial surgery,Utility of Generative Artificial Intelligence for Patient Care Counseling for Mandibular Fractures.,2025
40293869,Medical Informatics / Digital Health,Research Article,JAMA,"DeepSeek's ""Low-Cost"" Adoption Across China's Hospital Systems: Too Fast, Too Soon?",2025
40825182,Mental Health / Psychiatry,Research Article,JMIR mental health,The Ability of AI Therapy Bots to Set Limits With Distressed Adolescents: Simulation-Based Comparison Study.,2025
40898608,Mental Health / Psychiatry,Review,International journal of qualitative studies on health and well-being,Psychological impacts of AI-induced job displacement among Indian IT professionals: a Delphi-validated thematic analysis.,2025
40180985,Emergency Medicine / Critical Care,Research Article,Scientific reports,"Evaluation of correctness and reliability of GPT, Bard, and Bing chatbots' responses in basic life support scenarios.",2025
40917954,Medical Education,Research Article,Journal of education and health promotion,"Knowledge, awareness and attitude of healthcare professionals toward the use of ChatGpt: A cross-sectional study.",2025
40222163,Radiology / Diagnostic Imaging,Research Article,Clinical radiology,Review and reflections on live AI mammographic screen reading in a large UK NHS breast screening unit.,2025
40138420,Medical Informatics / Digital Health,Research Article,Science advances,Demographic bias of expert-level vision-language foundation models in medical imaging.,2025
41153289,Radiology / Diagnostic Imaging,Research Article,"Diagnostics (Basel, Switzerland)",Intra- and Inter-Observer Reliability of ChatGPT-4o in Thyroid Nodule Ultrasound Feature Analysis Based on ACR TI-RADS: An Image-Based Study.,2025
41107408,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,When helpfulness backfires: LLMs and the risk of false medical information due to sycophantic behavior.,2025
40997070,Neurology / Neuroscience,Research Article,PloS one,Evaluating the diagnostic performance of OpenBioLLM in neurology: A case-based assessment of a medical large language model.,2025
40696111,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Re-identification of patients from imaging features extracted by foundation models.,2025
39779928,Medical Informatics / Digital Health,Research Article,Nature medicine,Medical large language models are vulnerable to data-poisoning attacks.,2025
40597368,Multidisciplinary / Other,Letter,Journal of translational medicine,Surge in large language models exacerbates global regional healthcare inequalities.,2025
40934153,Mental Health / Psychiatry,Review,PLoS medicine,Machine learning algorithms and their predictive accuracy for suicide and self-harm: Systematic review and meta-analysis.,2025
40279575,Mental Health / Psychiatry,Research Article,Journal of medical Internet research,Expert and Interdisciplinary Analysis of AI-Driven Chatbots for Mental Health Support: Mixed Methods Study.,2025
40803966,Pediatrics,Research Article,Academic radiology,Multimodal Large Language Models for Pediatric Bone-Age Assessment: A Comparative Accuracy Analysis.,2025
41085353,Ophthalmology,Research Article,Translational vision science & technology,Assessing the Clinical Utility of Multimodal Large Language Models in the Diagnosis and Management of Pigmented Choroidal Lesions.,2025
41445760,Cardiology,Research Article,Frontiers in digital health,Uncovering bias and variability in how large language models attribute cardiovascular risk.,2025
39860006,Surgery,Research Article,"Life (Basel, Switzerland)",Pilot Study on AI Image Analysis for Lower-Limb Reconstruction-Assessing ChatGPT-4's Recommendations in Comparison to Board-Certified Plastic Surgeons and Resident Physicians.,2025
40753316,Medical Informatics / Digital Health,Research Article,Communications medicine,Multi-model assurance analysis showing large language models are highly vulnerable to adversarial hallucination attacks during clinical decision support.,2025
40648622,Cardiology,Research Article,"Healthcare (Basel, Switzerland)",ChatGPT Performance Deteriorated in Patients with Comorbidities When Providing Cardiological Therapeutic Consultations.,2025
40131528,Surgery,Research Article,Neurosurgical review,Accuracy and quality of ChatGPT-4o and Google Gemini performance on image-based neurosurgery board questions.,2025
39732434,Medical Informatics / Digital Health,Research Article,The Journal of nutrition,Evaluating ChatGPT's Multilingual Performance in Clinical Nutrition Advice Using Synthetic Medical Text: Insights from Central Asia.,2025
40543265,Oncology,Research Article,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,Online and ChatGPT-generated patient education materials regarding brain tumor prognosis fail to meet readability standards.,2025
40705814,Emergency Medicine / Critical Care,Research Article,PloS one,Evaluating GPT-4's role in critical patient management in emergency departments.,2025
39602554,Obstetrics / Gynecology,Research Article,"Human reproduction (Oxford, England)",The 'golden fleece of embryology' eludes us once again: a recent RCT using artificial intelligence reveals again that blastocyst morphology remains the standard to beat.,2025
39390731,Medical Informatics / Digital Health,Research Article,Neurourology and urodynamics,Exploring the Efficacy of Artificial Intelligence: A Comprehensive Analysis of CHAT-GPT's Accuracy and Completeness in Addressing Urinary Incontinence Queries.,2025
40078035,Emergency Medicine / Critical Care,Research Article,Artificial organs,Eligibility for eCPR Warming in Hypothermic Cardiac Arrest: Lack of Guidelines and the Current Constraints of Artificial Intelligence in Clinical Decision-Making.,2025
40610221,Medical Informatics / Digital Health,Research Article,Regional anesthesia and pain medicine,"Using AI chatbots as clinical decision support for regional anesthesia: is the new era of ""e-Consults"" ready for primetime?",2025
40951327,Surgery,Research Article,Frontiers in artificial intelligence,Limitations of broadly trained LLMs in interpreting orthopedic Walch glenoid classifications.,2025
41216185,Ophthalmology,Research Article,"Clinical ophthalmology (Auckland, N.Z.)",Diagnostic Accuracy and Counseling Quality of GPT-4o for Strabismus and Pseudostrabismus in Patient-Generated Mobile Photographs: A Preliminary Evaluation.,2025
41365739,Internal Medicine / Primary Care,Research Article,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,Performance of gastroenterologists and multimodal LLMs in endoscopic EREFS scoring of Eosinophilic Esophagitis.,2025
41417655,Medical Informatics / Digital Health,Research Article,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,Artificial intelligence for drug information: Evaluating its use in real-world pharmacy practice.,2025
41632159,Medical Informatics / Digital Health,Research Article,JAMA network open,Diagnostic Codes in AI Prediction Models and Label Leakage of Same-Admission Clinical Outcomes.,2025
40187408,Internal Medicine / Primary Care,Letter,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,Re: 'Comparing large language models for antibiotic prescribing in different clinical scenarios' by De Vito et al.,2025
40397927,Mental Health / Psychiatry,Research Article,JMIR mental health,A Comparison of Responses from Human Therapists and Large Language Model-Based Chatbots to Assess Therapeutic Communication: Mixed Methods Study.,2025
39394537,Radiology / Diagnostic Imaging,Research Article,Endocrine,Assessing the feasibility of ChatGPT-4o and Claude 3-Opus in thyroid nodule classification based on ultrasound images.,2025
40839146,Obstetrics / Gynecology,Research Article,Archives of gynecology and obstetrics,A comparative evaluation of publicly available large language models in the assessment of CTG traces according to the FIGO criteria.,2025
40816301,Internal Medicine / Primary Care,Research Article,The lancet. Gastroenterology & hepatology,"Endoscopist deskilling risk after exposure to artificial intelligence in colonoscopy: a multicentre, observational study.",2025
41392300,Dentistry,Research Article,Scientific reports,Detection accuracy of an AI platform for dental treatment features on panoramic radiographs - tooth- and patient-level analyses.,2025
39899928,Medical Informatics / Digital Health,Research Article,Musculoskeletal science & practice,"ChatGPT is a comprehensive education tool for patients with patellar tendinopathy, but it currently lacks accuracy and readability.",2025
41464772,Ophthalmology,Research Article,Journal of clinical medicine,Does DeepSeek Provide Clinically Acceptable Intraocular Lens (IOL) Power Predictions in Cataract Surgery? A Proof-of-Concept Study.,2025
40618549,Surgery,Research Article,The Knee,ChatGPT-4.0 and DeepSeek-R1 does not yet provide clinically supported answers for knee osteoarthritis.,2025
41278370,Oncology,Research Article,Digital health,Evaluating the potential of ChatGPT for patient identification in clinical breast cancer trials.,2025
39269615,Pathology / Laboratory Medicine,Research Article,Virchows Archiv : an international journal of pathology,Unveiling the risks of ChatGPT in diagnostic surgical pathology.,2025
40190132,Medical Informatics / Digital Health,Research Article,Journal of the American Medical Informatics Association : JAMIA,Evaluating the effectiveness of biomedical fine-tuning for large language models on clinical tasks.,2025
39723845,Neurology / Neuroscience,Research Article,Epilepsia,Can the large language model ChatGPT-4omni predict outcomes in adult patients with status epilepticus?,2025
41033798,Medical Informatics / Digital Health,Letter,Regional anesthesia and pain medicine,Beware of large language models for scoping literature searches.,2025
40117574,Medical Informatics / Digital Health,Research Article,Journal of medical Internet research,"Public Disclosure of Results From Artificial Intelligence/Machine Learning Research in Health Care: Comprehensive Analysis of ClinicalTrials.gov, PubMed, and Scopus Data (2010-2023).",2025
40259576,Radiology / Diagnostic Imaging,Letter,Journal of medical screening,Can ChatGPT detect breast cancer on mammography?,2025
39802674,Medical Informatics / Digital Health,Research Article,JAMIA open,Uncertainty estimation in diagnosis generation from large language models: next-word probability is not pre-test probability.,2025
39709300,Pathology / Laboratory Medicine,Research Article,"Oral surgery, oral medicine, oral pathology and oral radiology",Diagnostic performance of ChatGPT-4.0 in histopathological description analysis of oral and maxillofacial lesions: a comparative study with pathologists.,2025
40081807,Surgery,Research Article,Hand surgery & rehabilitation,Comparing AAOS appropriate use criteria with ChatGPT-4o recommendations on treating distal radius fractures.,2025
41123303,Pediatrics,Review,International journal of psychiatry in medicine,AI as a Novel Digital Stressor in Adolescent Psychosis: Clinical and Ethical Implications.,2025
40199631,Dentistry,Research Article,The Journal of prosthetic dentistry,Evaluating the validity and consistency of artificial intelligence chatbots in responding to patients' frequently asked questions in prosthodontics.,2025
41024005,Medical Informatics / Digital Health,Research Article,BMC medical informatics and decision making,Ethical implications of using general-purpose LLMs in clinical settings: a comparative analysis of prompt engineering strategies and their impact on patient safety.,2025
40025001,Oncology,Research Article,Journal of cancer survivorship : research and practice,"What does an AI-generated ""cancer survivor"" look like? An analysis of images generated by text-to-image tools.",2025
40081979,Internal Medicine / Primary Care,Review,BMJ open,Sex bias consideration in healthcare machine-learning research: a systematic review in rheumatoid arthritis.,2025
41402616,Surgery,Research Article,Journal of imaging informatics in medicine,Staging Femoral Head Osteonecrosis with General-Purpose AI: Lessons from the Ficat-Arlet Classification.,2025
41583822,Surgery,Research Article,"Arthroscopy, sports medicine, and rehabilitation",Widely Available Large Language Models Are Not a Reliable Source to Address Medical Treatment Recommendations of Patients After a First-Time Anteroinferior Shoulder Dislocation.,2025
40423504,Ophthalmology,Research Article,Journal of pediatric ophthalmology and strabismus,Quality and Readability of Patient Educational Materials Generated by ChatGPT-4o for Pediatric Ophthalmologic Surgeries.,2025
39827300,Medical Informatics / Digital Health,Review,NPJ digital medicine,Preventing unrestricted and unmonitored AI experimentation in healthcare through transparency and accountability.,2025
39080210,Medical Informatics / Digital Health,Research Article,Endocrine,Clinical application potential of large language model: a study based on thyroid nodules.,2025
40920790,Medical Informatics / Digital Health,Research Article,PLOS digital health,Evaluating anti-LGBTQIA+ medical bias in large language models.,2025
39881674,Oncology,Research Article,Journal of the Endocrine Society,Assessing ChatGPT's Capability in Addressing Thyroid Cancer Patient Queries: A Comprehensive Mixed-Methods Evaluation.,2025
40554500,Radiology / Diagnostic Imaging,Review,PloS one,Diagnosis of knee meniscal injuries using artificial intelligence: A systematic review and meta-analysis of diagnostic performance.,2025
40514273,Surgery,Research Article,Journal of pediatric urology,Annual updates of the European Association of Urology - European Society for Pediatric Urology (EAU-ESPU) paediatric urology guidelines: Are large-language models (LLM) better than the usual structured methodology?,2025
39330944,Oncology,Research Article,Clinical orthopaedics and related research,Is Information About Musculoskeletal Malignancies From Large Language Models or Web Resources at a Suitable Reading Level for Patients?,2025
40272185,Mental Health / Psychiatry,Research Article,Personality and mental health,Unveiling Public Stigma for Borderline Personality Disorder: A Comparative Study of Artificial Intelligence and Mental Health Care Providers.,2025
40554303,Neurology / Neuroscience,Research Article,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,Subthalamic nucleus or globus pallidus internus deep brain stimulation for the treatment of parkinson's disease: An artificial intelligence approach.,2025
41345316,Multidisciplinary / Other,Research Article,Nature,Persuading voters using human-artificial intelligence dialogues.,2025
40557933,Medical Informatics / Digital Health,Research Article,The Hastings Center report,"The Fundamental Fallacy of ""Empathic AI"".",2025
40982758,Neurology / Neuroscience,Research Article,Journal of medical Internet research,Large Language Models in Neurological Practice: Real-World Study.,2025
39538110,Radiology / Diagnostic Imaging,Research Article,Annals of nuclear medicine,Role of visual information in multimodal large language model performance: an evaluation using the Japanese nuclear medicine board examination.,2025
40926110,Oncology,Research Article,Journal of cancer research and clinical oncology,The imitation game: large language models versus multidisciplinary tumor boards: benchmarking AI against 21 sarcoma centers from the ring trial.,2025
40506239,Oncology,Editorial,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",Summary Report of the SNMMI AI Task Force Radiomics Challenge 2024.,2025
39938624,Medical Informatics / Digital Health,Editorial,Journal of biomedical informatics,From GPT to DeepSeek: Significant gaps remain in realizing AI in healthcare.,2025
39978248,Dentistry,Research Article,International orthodontics,Accuracy of cephalometric landmark identification by artificial intelligence platform versus expert orthodontist in unilateral cleft palate patients: A retrospective study.,2025
38584026,Surgery,Research Article,Journal of voice : official journal of the Voice Foundation,Evaluating the Potential of AI Chatbots in Treatment Decision-making for Acquired Bilateral Vocal Fold Paralysis in Adults.,2025
40532180,Medical Informatics / Digital Health,Research Article,Journal of medical Internet research,"Impact of AI-Assisted Diagnosis on American Patients' Trust in and Intention to Seek Help From Health Care Professionals: Randomized, Web-Based Survey Experiment.",2025
40895061,Dermatology,Research Article,PeerJ,Market-approved convolutional neural network tasked with classifying skin lesions under suspicion of melanoma: performance across primary care clinics within Australia.,2025
40424107,Medical Informatics / Digital Health,Research Article,IEEE journal of biomedical and health informatics,Comparing Text-Based Clinical Risk Prediction in Critical Care: A Note-Specific Hierarchical Network and Large Language Models.,2025
39948824,Oncology,Research Article,The Prostate,Progression-Free Survival Prediction Performance of ChatGPT: Analysis With Real Life Data in Early and Locally Advanced Prostate Cancer.,2025
40139461,Radiology / Diagnostic Imaging,Research Article,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,ChatGPT-4's Accuracy in Estimating Thyroid Nodule Features and Cancer Risk From Ultrasound Images.,2025
39920508,Radiology / Diagnostic Imaging,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Human-AI collaboration for ultrasound diagnosis of thyroid nodules: a clinical trial.,2025
40482575,Dentistry,Research Article,International dental journal,Image-Based Diagnostic Performance of LLMs vs CNNs for Oral Lichen Planus: Example-Guided and Differential Diagnosis.,2025
40696098,Medical Informatics / Digital Health,Letter,NPJ digital medicine,Pitfalls of large language models in medical ethics reasoning.,2025
41219270,Medical Informatics / Digital Health,Research Article,Scientific reports,Limitations of large language models in clinical problem-solving arising from inflexible reasoning.,2025
41063191,Dentistry,Research Article,BMC oral health,Dens invaginatus as a diagnostic challenge: evaluating large language models against expert endodontic reasoning.,2025
40348690,Radiology / Diagnostic Imaging,Research Article,The Journal of emergency medicine,Can Gpt-4o Accurately Diagnose Trauma X-Rays? A Comparative Study with Expert Evaluations.,2025
39608761,Medical Informatics / Digital Health,Research Article,Applied clinical informatics,Extracting International Classification of Diseases Codes from Clinical Documentation Using Large Language Models.,2025
41355748,Nursing,Research Article,Journal of medical Internet research,Detecting Sociodemographic Biases in the Content and Quality of Large Language Model-Generated Nursing Care: Cross-Sectional Simulation Study.,2025
39333444,Medical Informatics / Digital Health,Letter,Annals of biomedical engineering,"""Publish or Perish"" Paradigm and Medical Research: Replication Crisis in the Context of Artificial Intelligence Trend.",2025
40628018,Medical Education,Research Article,Currents in pharmacy teaching & learning,Pharmacy meets AI: Effect of a drug information activity on student perceptions of generative artificial intelligence.,2025
40208160,Dentistry,Research Article,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Performance of Chat Generative Pretrained Transformer-4.0 in determining labiolingual localization of maxillary impacted canine and presence of resorption in incisors through panoramic radiographs: A retrospective study.,2025
40776565,Medical Informatics / Digital Health,Research Article,Internal medicine journal,"Artificial intelligence-generated deepfakes in healthcare and biomedical research: major adverse implications for patients, public and professionals.",2025
39494686,Medical Informatics / Digital Health,Research Article,Health communication,Following Medical Advice of an AI or a Human Doctor? Experimental Evidence Based on Clinician-Patient Communication Pathway Model.,2025
40447186,Dermatology,Research Article,The Journal of investigative dermatology,Limitations of ChatGPT in Dermatologic Image Analysis: Toward Broader and Deeper Evaluation.,2025
40657035,Internal Medicine / Primary Care,Research Article,Antimicrobial stewardship & healthcare epidemiology : ASHE,Evaluating chain-of-thought prompting in a GPT chatbot for BCID2 interpretation and stewardship: how does AI compare to human experts?,2025
40845324,Medical Informatics / Digital Health,Review,JMIR medical informatics,"Diagnostic Prediction Models for Primary Care, Based on AI and Electronic Health Records: Systematic Review.",2025
40345017,Cardiology,Research Article,Heart & lung : the journal of critical care,Can ChatGPT accurately detect atrial fibrillation using smartwatch ECG?,2025
40991747,Medical Informatics / Digital Health,Research Article,Journal of medical Internet research,Critical Limitations in Systematic Reviews of Large Language Models in Health Care.,2025
40555406,Oncology,Research Article,Annals of coloproctology,"How appropriately can generative artificial intelligence platforms, including GPT-4, Gemini, Bing, and Wrtn, answer questions about colon cancer in the Korean language?",2025
38516933,Medical Education,Research Article,Accountability in research,AI vs academia: Experimental study on AI text detectors' accuracy in behavioral health academic writing.,2025
39668220,Surgery,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,The impact of internet resources and artificial intelligence on information on myringotomy tubes.,2025
40053915,Radiology / Diagnostic Imaging,Research Article,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",High identification and positive-negative discrimination but limited detailed grading accuracy of ChatGPT-4o in knee osteoarthritis radiographs.,2025
41368579,Emergency Medicine / Critical Care,Research Article,Frontiers in pharmacology,Large language models management of complex medication regimens: a case-based evaluation.,2025
