pmid,pub_year,journal,pub_type_simple_5,specialty,title,abstract
37975946,2023,Journal of medical systems,Letter,Medical Informatics / Digital Health,Applications of Artificial Intelligence in Health Care Delivery.,"Health care costs now comprise nearly one-fifth of the United States' gross domestic product, with the last 25 years marked by rising administrative costs, a lack of labor productivity growth, and rising patient and physician dissatisfaction. Policy experts have responded with a series of reforms that have - ironically - increased patient and physician administrative burden with little meaningful effect on cost and quality. Artificial intelligence (AI), a topic of great consternation, can serve as the ""wheat thresher"" for health care delivery, empowering and freeing both patients and physicians by decreasing administrative burden and improving labor productivity. In this Viewpoint, we discuss three principal areas where AI poses an unprecedented opportunity to reduce cost, improve care, and markedly enhance the patient and physician experience: (1) automation of administrative process, (2) augmentation of clinical practice, and (3) automation of elements of clinical practice."
37623465,2023,Journal of personalized medicine,Review,Medical Informatics / Digital Health,Advancing Patient Care: How Artificial Intelligence Is Transforming Healthcare.,"Artificial Intelligence (AI) has emerged as a transformative technology with immense potential in the field of medicine. By leveraging machine learning and deep learning, AI can assist in diagnosis, treatment selection, and patient monitoring, enabling more accurate and efficient healthcare delivery. The widespread implementation of AI in healthcare has the role to revolutionize patients' outcomes and transform the way healthcare is practiced, leading to improved accessibility, affordability, and quality of care. This article explores the diverse applications and reviews the current state of AI adoption in healthcare. It concludes by emphasizing the need for collaboration between physicians and technology experts to harness the full potential of AI."
37459906,2023,Journal of the American College of Radiology : JACR,Review,Medical Informatics / Digital Health,The Diagnostic Cockpit of the Future.,"The integration of digital data from imaging, pathology, genomics, and other fields creates an opportunity to produce information-rich diagnoses, especially for complex patients. Technology exists today to create a ""diagnostic cockpit"" that can accept inputs from multiple sources, analyze them using artificial intelligence and other quantitative tools, and produce a precision diagnosis. Although barriers to creation and dissemination of such a cockpit exist, the metaphor provides a glimpse into the diagnostic processes of the future."
36427077,2023,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Review,Surgery,A practical guide to the development and deployment of deep learning models for the Orthopedic surgeon: part I.,"Deep learning has a profound impact on daily life. As Orthopedics makes use of this rapid escalation in technology, Orthopedic surgeons will need to take leadership roles on deep learning projects. Moreover, surgeons must possess an understanding of what is necessary to design and implement deep learning-based project pipelines. This review provides a practical guide for the Orthopedic surgeon to understand the steps needed to design, develop, and deploy a deep learning pipeline for clinical applications. A detailed description of the processes involved in defining the problem, building the team, acquiring and curating the data, labeling the data, establishing the ground truth, pre-processing and augmenting the data, and selecting the required hardware is provided. In addition, an overview of unique considerations involved in the training and evaluation of deep learning models is provided. This review strives to provide surgeons with the groundwork needed to identify gaps in the clinical landscape that deep learning models may be able to fill and equips them with the knowledge needed to lead an interdisciplinary team through the process of creating novel deep-learning-based solutions to fill those gaps."
36841609,2023,"Lancet (London, England)",Letter,Medical Informatics / Digital Health,The promise of large language models in health care.,
36918736,2023,Nature medicine,Editorial,Medical Informatics / Digital Health,Will ChatGPT transform healthcare?,
38036704,2023,Nature medicine,Research Article,Medical Informatics / Digital Health,Six ways large language models are changing healthcare.,
37757713,2023,Nurse education today,Research Article,Nursing,"A holistic approach to remote patient monitoring, fueled by ChatGPT and Metaverse technology: The future of nursing education.","ChatGPT and Metaverse are contemporary artificial intelligence tools that are increasingly being used in healthcare professional training, particularly for remote patient monitoring. These technologies offer immersive and personalized learning experiences for nurses, improving their skills and confidence in managing remote patient care. ChatGPT can create simulated patient interactions that mimic real-life scenarios, while the Metaverse can provide virtual reality simulations and scenarios for nurses to practice and learn in a safe and controlled environment. The unification of ChatGPT and Metaverse technology in nursing education can enrich the learning experience and equip nurses with the necessary skills for remote patient monitoring, ultimately leading to improved patient outcomes and quality of care."
37389584,2023,Postgraduate medical journal,Review,Surgery,Artificial intelligence in orthopaedics surgery: transforming technological innovation in patient care and surgical training.,"Artificial intelligence (AI) is an exciting field combining computer science with robust data sets to facilitate problem-solving. It has the potential to transform education, practice and delivery of healthcare especially in orthopaedics. This review article outlines some of the already used AI pathways as well as recent technological advances in orthopaedics. Additionally, this article further explains how potentially these two entities could be combined in the future to improve surgical education, training and ultimately patient care and outcomes."
37489981,2023,Radiology,Research Article,Radiology / Diagnostic Imaging,A Context-based Chatbot Surpasses Trained Radiologists and Generic ChatGPT in Following the ACR Appropriateness Guidelines.,"Background Radiological imaging guidelines are crucial for accurate diagnosis and optimal patient care as they result in standardized decisions and thus reduce inappropriate imaging studies. Purpose In the present study, we investigated the potential to support clinical decision-making using an interactive chatbot designed to provide personalized imaging recommendations from American College of Radiology (ACR) appropriateness criteria documents using semantic similarity processing. Methods We utilized 209 ACR appropriateness criteria documents as specialized knowledge base and employed LlamaIndex, a framework that allows to connect large language models with external data, and the ChatGPT 3.5-Turbo to create an appropriateness criteria contexted chatbot (accGPT). Fifty clinical case files were used to compare the accGPT's performance against general radiologists at varying experience levels and to generic ChatGPT 3.5 and 4.0. Results All chatbots reached at least human performance level. For the 50 case files, the accGPT performed best in providing correct recommendations that were ""usually appropriate"" according to the ACR criteria and also did provide the highest proportion of consistently correct answers in comparison with generic chatbots and radiologists. Further, the chatbots provided substantial time and cost savings, with an average decision time of 5 minutes and a cost of 0.19 € for all cases, compared to 50 minutes and 29.99 € for radiologists (both p < 0.01). Conclusion ChatGPT-based algorithms have the potential to substantially improve the decision-making for clinical imaging studies in accordance with ACR guidelines. Specifically, a context-based algorithm performed superior to its generic counterpart, demonstrating the value of tailoring AI solutions to specific healthcare applications."
37574841,2023,Technology in cancer research & treatment,Editorial,Oncology,Novel Applications of Artificial Intelligence in Cancer Research.,"Cutting-edge developments in machine learning and deep learning are improving all aspects of cancer research and treatment. Nowadays, the applications of artificial intelligence, machine learning, and deep learning to clinical aspects of cancer research have received more attention from scholars, with particular emphasis on diagnosis, prognosis, detection, and treatment."
37699445,2023,The American journal of the medical sciences,Letter,Medical Education,Revolutionizing clinical experimental protocol design through the ChatGPT technology.,
37465322,2023,The Lancet regional health. Europe,Editorial,Medical Informatics / Digital Health,Embracing generative AI in health care.,
35101642,2023,Trends in cardiovascular medicine,Review,Cardiology,Successfully implemented artificial intelligence and machine learning applications in cardiology: State-of-the-art review.,"The omnipresence and deep impact of artificial intelligence (AI) in today's society are undeniable. While the technology has already established itself as a powerful tool in several industries, more recently it has also started to change the practice of medicine. The aim of this review is to provide healthcare providers working in the field of cardiovascular medicine with an overview of AI and machine learning (ML) algorithms that have passed the initial tests and made it into contemporary clinical practice. The following domains where AI/ML could revolutionize cardiology are covered: (i) signal processing, (ii) image processing, (iii) clinical risk stratification, (iv) natural language processing, and (v) fundamental clinical discoveries."
37750962,2023,World journal of urology,Letter,Medical Informatics / Digital Health,Generative AI: in rescue of healthcare reformation.,
